sequence,kind,name,name_zh_hans,filename,relative_path,image_url,source_page,source,translation_source,content_type,bytes,sha256,status,error
001,furniture,Antique bed,古董床,001-antique-bed.png,docs/pokopia_image_sources/furniture_portraits/001-antique-bed.png,https://pokopiadex.com/images/items/item_ui/antique-bed.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,40639,15094eb81ed1b7a7b2815a0001d4ed230deca8537abe84ecf52b3cc22745336a,ok,
002,furniture,Antique chair,古董椅,002-antique-chair.png,docs/pokopia_image_sources/furniture_portraits/002-antique-chair.png,https://pokopiadex.com/images/items/item_ui/antique-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,27009,117948a0b65273226e9e5e6a5c81281913e856cf6dd9f0737397ceb594bdbafc,ok,
003,furniture,Antique chest,古董宝箱,003-antique-chest.png,docs/pokopia_image_sources/furniture_portraits/003-antique-chest.png,https://pokopiadex.com/images/items/item_ui/antique-chest.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,25304,8110bdf1e0abee5ccdb86a9ae4c01ab0d38c6080f6f2284f3de397c3ee587dba,ok,
004,furniture,Antique closet,古董衣柜,004-antique-closet.png,docs/pokopia_image_sources/furniture_portraits/004-antique-closet.png,https://pokopiadex.com/images/items/item_ui/antique-closet.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,26996,ab9226bf4b864a04b3009c951fbd4005960fc5288096c74a71c379c83afad315,ok,
005,furniture,Antique dresser,古董梳妆台,005-antique-dresser.png,docs/pokopia_image_sources/furniture_portraits/005-antique-dresser.png,https://pokopiadex.com/images/items/item_ui/antique-dresser.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,29897,75dd060de0913dd6d84cf298636a45f57707bbe11940b26d9df6b59c60bf34ec,ok,
006,furniture,Antique sofa,古董沙发,006-antique-sofa.png,docs/pokopia_image_sources/furniture_portraits/006-antique-sofa.png,https://pokopiadex.com/images/items/item_ui/antique-sofa.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,30593,47074dbe948fa3fb1e60e433a78313da4e611af0c23520acb0f0a29af8decb88,ok,
007,furniture,Antique table,古董桌,007-antique-table.png,docs/pokopia_image_sources/furniture_portraits/007-antique-table.png,https://pokopiadex.com/images/items/item_ui/antique-table.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,14937,6647e490b72bf331d6ff3959513ecd50c225b4b9c330fb971d5ab45f31ccd3f8,ok,
008,furniture,Avalugg Table,冰岩怪桌,008-avalugg-table.png,docs/pokopia_image_sources/furniture_portraits/008-avalugg-table.png,https://pokopiadex.com/images/items/item_ui/avalugg-table.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,117273,d1729629d398e7120353927724f4cede0f790b67bece67c9f5026532596a7191,ok,
009,furniture,Beach chair,沙滩椅,009-beach-chair.png,docs/pokopia_image_sources/furniture_portraits/009-beach-chair.png,https://pokopiadex.com/images/items/crafting_ui/beach-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,137627,df9a1420cc93c46b87993171583815fcafa3ec1a57ea9a44c79b6dff21e1a883,ok,
010,furniture,Berry Case,树果箱,010-berry-case.webp,docs/pokopia_image_sources/furniture_portraits/010-berry-case.webp,https://img.rankedboost.com/wp-content/plugins/pokopia/assets/items/berry-case.webp,https://rankedboost.com/pokopia/items/,rankedboost,infipoke_pokopia_items_or_crafting_zh_hans,image/webp,3770,680b573f02a1a5a792bb8ce7954c3d99bd829f6dbf2dcab06c58af88f87c5e42,ok,
011,furniture,Berry bed,树果床,011-berry-bed.png,docs/pokopia_image_sources/furniture_portraits/011-berry-bed.png,https://pokopiadex.com/images/items/item_ui/berry-bed.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,26804,95902a6dd2f1af219d8ff89ad345c980f8c766079bec3c6385b3f80dff072e49,ok,
012,furniture,Berry chair,树果椅,012-berry-chair.png,docs/pokopia_image_sources/furniture_portraits/012-berry-chair.png,https://pokopiadex.com/images/items/item_ui/berry-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,24220,0ae6459b6ae8ea39bfb85872e297ce437a4402bfc541ae79610f423e573dc5c6,ok,
013,furniture,Berry table,树果桌,013-berry-table.png,docs/pokopia_image_sources/furniture_portraits/013-berry-table.png,https://pokopiadex.com/images/items/item_ui/berry-table.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,28193,1701847924229f9c1b0a703779c9e330917ab5ea3bfd60af721d4e2e8c2a2f1f,ok,
014,furniture,Big Storage Box,大型收纳箱,014-big-storage-box.png,docs/pokopia_image_sources/furniture_portraits/014-big-storage-box.png,https://pokopiadex.com/images/items/crafting_ui/big-storage-box.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,135463,0f224b970abf78d4f7cb46b6514042ad54886ed6e5497eee8c5ab0a1686d99dc,ok,
015,furniture,Box sofa,箱型沙发,015-box-sofa.png,docs/pokopia_image_sources/furniture_portraits/015-box-sofa.png,https://pokopiadex.com/images/items/item_ui/box-sofa.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,20478,9ccfd8f61fbdcbcd1361f018cb818b9b2a1752513048b2cfd2d957b6e9791455,ok,
016,furniture,Chic chair,时尚椅,016-chic-chair.png,docs/pokopia_image_sources/furniture_portraits/016-chic-chair.png,https://pokopiadex.com/images/items/crafting_ui/chic-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,124979,eb01858ca5a328efba5e427fa7f27cd750f3bd59f694f37ff8cd495474b4549c,ok,
017,furniture,Chic sofa,时尚沙发,017-chic-sofa.png,docs/pokopia_image_sources/furniture_portraits/017-chic-sofa.png,https://pokopiadex.com/images/items/item_ui/chic-sofa.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans,image/png,34566,e613f584bcc13e2726b57eb641f92678faec8b4c88599c06e1ba56f0b6bb463c,ok,
